# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
zu ni 	阻尼	c=1 d=1 t=3127
zu se 	阻塞	c=1 d=1 t=2310
zui da 	最大	c=7 d=2.56244 t=3498
zui da su du 	最大速度	c=1 d=1 t=1975
zui duo 	最多	c=1 d=1 t=2363
zui hao 	最好	c=5 d=0.810584 t=6492
zui hou 	最後	c=3 d=1 t=5203
zui xia mian 	最下面	c=1 d=1 t=4413
zui xiao 	最小	c=3 d=2.93131 t=3329
zui zhong 	最終	c=2 d=1 t=6023
zuo 	作	c=4 d=1 t=5910
zuo 	做	c=11 d=1.71456 t=6208
zuo 	左	c=2 d=1.42528 t=5955
zuo bian 	左邊	c=7 d=0.404659 t=5851
zuo bian shi 	左邊是	c=1 d=1 t=5852
zuo biao xi 	座標系	c=3 d=1.61566 t=3129
zuo biao zhou 	座標軸	c=1 d=1 t=2809
zuo ce 	左側	c=1 d=1 t=103
zuo dao 	做到	c=1 d=1 t=5639
zuo de 	做的	c=0 d=0.1 t=4505
zuo fa 	做法	c=1 d=1 t=5663
zuo le 	作了	c=1 d=1 t=5083
zuo le 	做了	c=1 d=1 t=5592
zuo shang jiao 	左上角	c=2 d=1.13068 t=5764
zuo shen me 	做什麼	c=0 d=0.1 t=4181
zuo shen me de 	做什麼的	c=1 d=1 t=4182
zuo tan hui 	座談會	c=1 d=1 t=5792
zuo tian 	昨天	c=2 d=1.04021 t=6351
zuo tian gei ni 	昨天給你	c=1 d=1 t=4867
zuo tu 	左圖	c=2 d=1.96561 t=2836
zuo tuo zhan 	做拓展	c=1 d=1 t=5450
zuo xia jiao 	左下角	c=1 d=1 t=5582
zuo yi 	做一	c=1 d=1 t=4484
zuo yi xia 	做一下	c=1 d=1 t=4694
zuo zhe 	作者	c=5 d=2.24237 t=1879
zuo zhe 	做着	c=1 d=1 t=1780
